manufacturer,model,year,gas,km,expenses,last_bid
 FORD,"FUSION AWD GTDI
      "," 2013/2013
  ", GASOLINA   ," 183.500   
  "," R$ 1.550,00",
 FORD,"FIESTA FLEX
      "," 2012/2013
  ", ALC/GAS   ," DIGITAL   
  "," R$ 1.550,00",
 HYUNDAI,"HB20 1.0M COMFOR
      "," 2016/2017
  ", ALC/GAS   ," 198.650   
  "," R$ 1.550,00",
 CHEVROLET,"ONIX 1.0MT LT
      "," 2017/2018
  ", ALC/GAS   ," 71.750   
  "," R$ 1.550,00","R$ 29.500,00"
 RENAULT,"SANDERO AUTH 10
      "," 2015/2016
  ", ALC/GAS   ," 198.950   
  "," R$ 1.550,00",
 BMW,"528I 
      "," 2014/2015
  ", GASOLINA   ," 146.750   
  "," R$ 1.550,00",
 HYUNDAI,"IX35 GL
      "," 2017/2018
  ", ALC/GAS   ," 130.050   
  "," R$ 1.550,00",
 FIAT,"SIENA EL 1.0 FLEX
      "," 2015/2015
  ", ALC/GAS   ," 113.700   
  "," R$ 1.550,00",
 VOLKSWAGEN,"FOX 1.6 PRIME GII
      "," 2012/2012
  ", ALC/GAS   ," 201.250   
  "," R$ 1.550,00",
 HYUNDAI,"HB20 1.0M COMFOR
      "," 2015/2015
  ", ALC/GAS   ," 127.500   
  "," R$ 1.550,00",
 FIAT,"PUNTO ATTRACTIVE
      "," 2012/2012
  ", ALC/GAS   ," 109.100   
  "," R$ 1.550,00",
 FORD,"FIESTA SEDAN1.6FLEX
      "," 2010/2010
  ", ALC/GAS   ," 163.550   
  "," R$ 1.550,00",
 RENAULT,"SANDERO AUTH 10
      "," 2018/2019
  ", ALC/GAS   ," 36.200   
  "," R$ 1.550,00",
 VOLKSWAGEN,"VIRTUS MF
      "," 2019/2020
  ", ALC/GAS   ," 121.600   
  "," R$ 1.550,00",
 HYUNDAI,"HB20 10M VISION
      "," 2022/2022
  ", ALC/GAS   ," 39.800   
  "," R$ 1.550,00",
 FORD,"FIESTA 
      "," 2012/2012
  ", ALC/GAS   ," 180.100   
  "," R$ 1.550,00",
 CITROEN,"C4 CACTUS FEEL A
      "," 2021/2022
  ", ALC/GAS   ," 17.500   
  "," R$ 1.900,00",
 PEUGEOT,"208 LIKE PK MT
      "," 2021/2022
  ", ALC/GAS   ," 54.250   
  "," R$ 1.900,00",
 CITROEN,"C3 FEEL PK AT
      "," 2022/2023
  ", ALC/GAS   ," 12.400   
  "," R$ 1.900,00",
 RENAULT,"SANDERO AUTH 10
      "," 2014/2015
  ", ALC/GAS/GNV   ," 267.200   
  "," R$ 1.900,00",
 KIA,"STONIC MHEV SX
      "," 2021/2022
  ", GASOLINA/ELÉTRICO   ," 8.700   
  "," R$ 1.900,00",
 CITROEN,"C4 CACTUS SHINE T
      "," 2022/2023
  ", ALC/GAS   ," 7.600   
  "," R$ 1.900,00",
 PEUGEOT,"208 LIKE PK MT
      "," 2021/2022
  ", ALC/GAS   ," 15.950   
  "," R$ 1.900,00",
 NISSAN,"VERSA DRIVE 10 MT
      "," 2021/2021
  ", ALC/GAS   ," 45.450   
  "," R$ 1.900,00",
 PEUGEOT,"2008 GRF THP AT
      "," 2022/2022
  ", ALC/GAS   ," 9.700   
  "," R$ 1.900,00",
 CITROEN,"C4 CACTUS FEEL P
      "," 2022/2022
  ", ALC/GAS   ," 46.300   
  "," R$ 1.900,00",
 RENAULT,"LOGAN AUTH 10
      "," 2019/2019
  ", ALC/GAS   ," 62.400   
  "," R$ 1.900,00",
 FIAT,"TORO FREEDOM AT
      "," 2018/2019
  ", ALC/GAS   ," 60.900   
  "," R$ 1.900,00",
 VOLKSWAGEN,"VIRTUS CL AD
      "," 2018/2019
  ", ALC/GAS   ," 87.500   
  "," R$ 1.900,00",
 FORD,"FUSION 
      "," 2008/2008
  ", GASOLINA   ," 130.800   
  "," R$ 1.900,00",
 TOYOTA,"HILUX SWSRVA2HF
      "," 2018/2018
  ", ALC/GAS   ," 82.000   
  "," R$ 1.900,00",
 HYUNDAI,"HB20 1.6A COMF
      "," 2015/2015
  ", ALC/GAS   ," 124.950   
  "," R$ 1.500,00",
 FORD,"KA SE 1.0 HA B
      "," 2017/2018
  ", ALC/GAS/GNV   ," DIGITAL   
  "," R$ 1.500,00",
 FIAT,"UNO VIVACE 1.0
      "," 2012/2013
  ", ALC/GAS   ," 196.200   
  "," R$ 1.500,00",
 FORD,"FIESTA FLEX
      "," 2009/2010
  ", ALC/GAS   ," 148.600   
  "," R$ 1.500,00",
 VOLKSWAGEN,"GOLF 
      "," 2011/2011
  ", ALC/GAS   ," 92.300   
  "," R$ 1.500,00",
 CHEVROLET,"MERIVA JOY
      "," 2010/2011
  ", ALC/GAS   ," 191.100   
  "," R$ 1.500,00",
 VOLKSWAGEN,"GOL 1.0 GIV
      "," 2010/2011
  ", ALC/GAS   ," 285.600   
  "," R$ 1.500,00",
 HONDA,"NXR 160 BROS ESDD 
      "," 2021/2021
  ", ALC/GAS   ," 25.400   
  "," R$ 450,00",
 HONDA,"CG 160 START 
      "," 2021/2022
  ", GASOLINA   ," 9.500   
  "," R$ 450,00",
 YAMAHA,"YS 150 FAZER SED 
      "," 2020/2021
  ", ALC/GAS   ," 25.850   
  "," R$ 450,00",
 HONDA,"PCX 150 SPORT ABS
      "," 2022/2022
  ", GASOLINA   ," 6.000   
  "," R$ 450,00",
 HONDA,"CG 160 START 
      "," 2022/2022
  ", GASOLINA   ," 1.450   
  "," R$ 450,00",
 YAMAHA,"FZ25 FAZER 
      "," 2021/2021
  ", ALC/GAS   ," 18.600   
  "," R$ 450,00","R$ 15.600,00"
 KAWASAKI,"Z900 
      "," 2021/2021
  ", GASOLINA   ," NÃO HÁ   
  "," R$ 450,00",
 HONDA,"CG 160 START 
      "," 2020/2021
  ", GASOLINA   ," 9.300   
  "," R$ 450,00",
 HONDA,"CG 160 FAN 
      "," 2023/2023
  ", ALC/GAS   ," 2.550   
  "," R$ 600,00",
 YAMAHA,"FZ15 FAZER ABS
      "," 2023/2023
  ", ALC/GAS   ," 9.450   
  "," R$ 600,00","R$ 13.600,00"
 HONDA,"CG 160 START 
      "," 2020/2020
  ", GASOLINA   ," 82.400   
  "," R$ 600,00",
 HONDA,"CG 160 TITAN S
      "," 2020/2021
  ", ALC/GAS   ," 28.250   
  "," R$ 600,00",
 YAMAHA,"XTZ 150 CROSSER S 
      "," 2021/2022
  ", ALC/GAS   ," 7.300   
  "," R$ 600,00",
 YAMAHA,"XTZ 250 LANDER 
      "," 2019/2020
  ", ALC/GAS   ," 39.200   
  "," R$ 600,00","R$ 13.600,00"
 HONDA,"CG 160 TITAN 
      "," 2021/2021
  ", ALC/GAS   ," 2.500   
  "," R$ 600,00","R$ 11.600,00"
 HONDA,"CG 160 TITAN 25A
      "," 2019/2019
  ", ALC/GAS   ," 4.500   
  "," R$ 600,00","R$ 10.400,00"
 ROYAL ENFIELD,"CGT 535
      "," 2020/2021
  ", GASOLINA   ," 13.600   
  "," R$ 600,00",
 HONDA,"CG 160 TITAN 
      "," 2022/2022
  ", ALC/GAS   ," 14.400   
  "," R$ 600,00",
 YAMAHA,"XTZ150 CROSSER Z
      "," 2021/2022
  ", ALC/GAS   ," 39.750   
  "," R$ 600,00",
 HONDA,"PCX 160 DLX ABS
      "," 2023/2023
  ", GASOLINA   ," 3.550   
  "," R$ 600,00","R$ 15.400,00"
 YAMAHA,"FZ25 FAZER 
      "," 2022/2023
  ", ALC/GAS   ," 14.400   
  "," R$ 1.750,00",
 HONDA,"CG 125 FAN KS
      "," 2015/2016
  ", GASOLINA   ," 65.000   
  "," R$ 690,00","R$ 5.400,00"
 KTM,"DUKE 200 
      "," 2017/2017
  ", GASOLINA   ," 35.450   
  "," R$ 690,00",
 HONDA,"XRE 300 
      "," 2010/2011
  ", GASOLINA   ," 60.900   
  "," R$ 690,00","R$ 7.600,00"
 HONDA,"CG 160 START 
      "," 2022/2022
  ", GASOLINA   ," 7.800   
  "," R$ 640,00",
 CHEVROLET,"CLASSIC LS
      "," 2012/2013
  ", ALC/GAS   ," 161.200   
  "," R$ 1.890,00",
 RENAULT,"LOGAN EXPR 16 M
      "," 2014/2014
  ", ALC/GAS/GNV   ," 73.300   
  "," R$ 1.890,00","R$ 20.000,00"
 FIAT,"PUNTO SPORTING 1.8
      "," 2014/2014
  ", ALC/GAS/GNV   ," 179.250   
  "," R$ 1.890,00",
 CHEVROLET,"COBALT 1.4 LTZ
      "," 2012/2013
  ", ALC/GAS/GNV   ," DIGITAL   
  "," R$ 1.890,00",
 PEUGEOT,"307 20A FELINE
      "," 2005/2005
  ", GASOLINA   ," 248.400   
  "," R$ 1.890,00",
 RENAULT,"SANDERO AUTH 10
      "," 2017/2018
  ", ALC/GAS   ," 75.600   
  "," R$ 1.890,00",
 FIAT,"STILO SPORTING FLEX
      "," 2007/2007
  ", ALC/GAS   ," 94.950   
  "," R$ 1.890,00",
 CHEVROLET,"CORSA HATCH MAXX
      "," 2008/2009
  ", ALC/GAS   ," 129.700   
  "," R$ 1.890,00",
 PEUGEOT,"408 ALLURE
      "," 2012/2013
  ", ALC/GAS/GNV   ," 93.100   
  "," R$ 1.890,00",
 VOLKSWAGEN,"SPACEFOX TL MBV
      "," 2019/2019
  ", ALC/GAS   ," 53.200   
  "," R$ 1.890,00",
 RENAULT,"SANDERO AUTH 10
      "," 2018/2019
  ", ALC/GAS/GNV   ," 238.150   
  "," R$ 1.890,00",
 CHEVROLET,"CELTA 1.0L LS
      "," 2012/2013
  ", ALC/GAS   ," DIGITAL   
  "," R$ 2.050,00",
 FIAT,"UNO MILLE ECONOMY
      "," 2012/2013
  ", ALC/GAS   ," 168.650   
  "," R$ 2.050,00",
 VOLKSWAGEN,"FOX 1.6 PRIME GII
      "," 2011/2012
  ", ALC/GAS   ," 123.650   
  "," R$ 2.050,00",
 RENAULT,"DUSTER 16 D 4X2
      "," 2011/2012
  ", ALC/GAS   ," 143.200   
  "," R$ 2.050,00",
 VOLKSWAGEN,"GOL 1.0
      "," 2011/2011
  ", ALC/GAS   ," 127.550   
  "," R$ 2.050,00",
 FIAT,"UNO VIVACE 1.0
      "," 2013/2014
  ", ALC/GAS   ," 311.700   
  "," R$ 2.050,00",
 MERCEDES-BENZ,"180 C CGI
      "," 2011/2012
  ", GASOLINA   ," 159.250   
  "," R$ 2.050,00",
 PEUGEOT,"207 HB XR
      "," 2010/2011
  ", ALC/GAS   ," 161.550   
  "," R$ 2.050,00",
 FORD,"KA FLEX
      "," 2012/2013
  ", ALC/GAS   ," 146.400   
  "," R$ 2.050,00",
 VOLKSWAGEN,"GOL 1.0
      "," 2011/2012
  ", ALC/GAS   ," 177.850   
  "," R$ 2.050,00",
 VOLKSWAGEN,"POLO SEDAN 1.6
      "," 2011/2012
  ", ALC/GAS   ," 132.050   
  "," R$ 2.050,00",
 FIAT,"UNO MILLE WAY ECON
      "," 2011/2012
  ", ALC/GAS   ," 252.150   
  "," R$ 2.050,00","R$ 13.000,00"
 FIAT,"PUNTO ESSEN. 1.6 DL
      "," 2012/2012
  ", ALC/GAS   ," 142.900   
  "," R$ 2.050,00",
 PEUGEOT,"307 HBFELINE A
      "," 2010/2011
  ", ALC/GAS   ," 130.200   
  "," R$ 2.050,00",
 VOLKSWAGEN,"GOL 1.0 GIV
      "," 2013/2014
  ", ALC/GAS   ," 74.700   
  "," R$ 2.050,00",
